"GEOID20","hra20_id","hra20_name","region_id","region_name","creation_date"
"530330315013037",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312025040",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001004",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001005",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312043004",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312043006",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312043007",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001009",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001010",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001011",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001012",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001013",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022019",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022020",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312043015",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033009",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012072",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313012012",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313022025",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012074",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012075",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312043022",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012077",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330314001025",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011020",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021004",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315023002",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330316033021",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315012085",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330315023004",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312021011",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330313011029",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
"530330312024013",1,"Enumclaw, Black Diamond, and Southeast King County",4,"South",2023-08-03
