"GEOID10","hra20_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra20_name","source_id","target_id","method","creation_date"
"53033028801",15,0.50934944173127,1984.91298899715,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033028801",15,"point population",2023-03-15
"53033028901",15,1,3726.10038298822,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033028901",15,"point population",2023-03-15
"53033028902",15,1,7243.48994394112,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033028902",15,"point population",2023-03-15
"53033029001",15,1,4530.34676887465,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033029001",15,"point population",2023-03-15
"53033029003",15,1,6356.81249701581,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033029003",15,"point population",2023-03-15
"53033030003",15,0.681073272176898,4668.40798920825,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033030003",15,"point population",2023-03-15
"53033030100",15,0.0463673682314634,348.131944171635,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park","53033030100",15,"point population",2023-03-15
"53033027701",16,1,5882.13212943179,11075.3314194928,11075.3314194928,"Vashon","53033027701",16,"point population",2023-03-15
"53033027702",16,1,5193.19929006133,11075.3314194928,11075.3314194928,"Vashon","53033027702",16,"point population",2023-03-15
"53033025702",17,0.18487649639244,714.00450159736,25468.0446010286,25468.0446010286,"Fairwood","53033025702",17,"point population",2023-03-15
"53033025804",17,0.243128869832752,916.023272326558,25468.0446010286,25468.0446010286,"Fairwood","53033025804",17,"point population",2023-03-15
"53033029304",17,0.722723347534752,4509.7655269614,25468.0446010286,25468.0446010286,"Fairwood","53033029304",17,"point population",2023-03-15
"53033029307",17,0.694075242171657,2698.43599113765,25468.0446010286,25468.0446010286,"Fairwood","53033029307",17,"point population",2023-03-15
"53033031906",17,0.6299928575533,2743.33804988144,25468.0446010286,25468.0446010286,"Fairwood","53033031906",17,"point population",2023-03-15
"53033031907",17,0.821267000345765,6309.2667701273,25468.0446010286,25468.0446010286,"Fairwood","53033031907",17,"point population",2023-03-15
