"ZIP","hra_id","s2t_fraction","isect_amount","tcoverage_amount","target_amount","hra_name","source_id","target_id","method","creation_date"
98042,9,0.171580933549269,8601.91734871743,30871.5885884052,30871.5885884052,"Kent - South",98042,9,"point population",2023-03-13
98010,10,0.0323904351847344,251.976271798823,28578.7286773645,28578.7286773645,"Maple Valley",98010,10,"point population",2023-03-13
98038,10,0.760060005011758,28321.4501126334,28578.7286773645,28578.7286773645,"Maple Valley",98038,10,"point population",2023-03-13
98042,10,0.000105763905230049,5.30229293224605,28578.7286773645,28578.7286773645,"Maple Valley",98042,10,"point population",2023-03-13
98042,11,0.429662927401933,21540.4177659293,21540.4177659293,21540.4177659293,"Covington",98042,11,"point population",2023-03-13
98030,12,0.457698455396595,18097.999972969,29125.9789769504,29125.9789769504,"Kent - Central",98030,12,"point population",2023-03-13
98031,12,0.189854442334544,8392.97945529048,29125.9789769504,29125.9789769504,"Kent - Central",98031,12,"point population",2023-03-13
98032,12,0.0690399766304452,2634.99954869044,29125.9789769504,29125.9789769504,"Kent - Central",98032,12,"point population",2023-03-13
98031,13,0.000109528704873088,4.84198398763063,33206.6797194927,33206.6797194927,"Kent - West",98031,13,"point population",2023-03-13
98032,13,0.869705647162014,33193.4351605047,33206.6797194927,33206.6797194927,"Kent - West",98032,13,"point population",2023-03-13
98198,13,0.000210196746604195,8.4025750004219,33206.6797194927,33206.6797194927,"Kent - West",98198,13,"point population",2023-03-13
98030,14,0.0213198355532883,843.014388005267,44012.6422157138,44012.6422157138,"Kent - East",98030,14,"point population",2023-03-13
98031,14,0.807738477004914,35708.0527555102,44012.6422157138,44012.6422157138,"Kent - East",98031,14,"point population",2023-03-13
98032,14,0.000348297945572892,13.2932392823213,44012.6422157138,44012.6422157138,"Kent - East",98032,14,"point population",2023-03-13
98042,14,0.148411013952132,7440.33296268905,44012.6422157138,44012.6422157138,"Kent - East",98042,14,"point population",2023-03-13
98055,14,0.000322912275099922,7.94887022589598,44012.6422157138,44012.6422157138,"Kent - East",98055,14,"point population",2023-03-13
98003,15,0.00275918853808434,145.094497240291,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park",98003,15,"point population",2023-03-13
98148,15,0.233387309424224,2628.71140057385,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park",98148,15,"point population",2023-03-13
98166,15,0.26460046071504,5865.66977548557,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park",98166,15,"point population",2023-03-13
98198,15,0.804466576197898,32158.398505396,40797.8741786939,40797.8741786939,"Des Moines and Normandy Park",98198,15,"point population",2023-03-13
98070,16,1,11075.3314194928,11075.3314194928,11075.3314194928,"Vashon",98070,16,"point population",2023-03-13
98042,17,0.00962599833854256,482.583002634486,25468.0446010286,25468.0446010286,"Fairwood",98042,17,"point population",2023-03-13
98058,17,0.560306935047246,24985.4615983941,25468.0446010286,25468.0446010286,"Fairwood",98058,17,"point population",2023-03-13
98032,18,0.000733820280467562,28.0071952834242,32003.0562826669,32003.0562826669,"Seatac",98032,18,"point population",2023-03-13
98148,18,0.0148850864506874,167.655201767316,32003.0562826669,32003.0562826669,"Seatac",98148,18,"point population",2023-03-13
98168,18,0.114663100386937,4364.37871073157,32003.0562826669,32003.0562826669,"Seatac",98168,18,"point population",2023-03-13
98188,18,0.68148237776672,19635.0062919064,32003.0562826669,32003.0562826669,"Seatac",98188,18,"point population",2023-03-13
98198,18,0.195323227055541,7808.00888297792,32003.0562826669,32003.0562826669,"Seatac",98198,18,"point population",2023-03-13
98031,19,0.00229755195565695,101.568897330893,42661.9116538189,42661.9116538189,"Renton - South",98031,19,"point population",2023-03-13
98055,19,0.9996770877249,24608.2420857738,42661.9116538189,42661.9116538189,"Renton - South",98055,19,"point population",2023-03-13
98057,19,0.352111366620415,4684.45227775036,42661.9116538189,42661.9116538189,"Renton - South",98057,19,"point population",2023-03-13
98058,19,0.285664109503778,12738.4638518605,42661.9116538189,42661.9116538189,"Renton - South",98058,19,"point population",2023-03-13
98178,19,0.019702705026431,529.184541103969,42661.9116538189,42661.9116538189,"Renton - South",98178,19,"point population",2023-03-13
98146,20,0.456032232454177,12907.8798803298,53299.9419122871,53299.9419122871,"Burien",98146,20,"point population",2023-03-13
98148,20,0.751727604125049,8466.93390469534,53299.9419122871,53299.9419122871,"Burien",98148,20,"point population",2023-03-13
98166,20,0.735399539284944,16302.3557813651,53299.9419122871,53299.9419122871,"Burien",98166,20,"point population",2023-03-13
98168,20,0.410449145811904,15622.7723458934,53299.9419122871,53299.9419122871,"Burien",98168,20,"point population",2023-03-13
98168,21,0.302500120795089,11513.948975186,22471.7517844369,22471.7517844369,"Tukwila",98168,21,"point population",2023-03-13
98178,21,0.066296010274442,1780.60950143857,22471.7517844369,22471.7517844369,"Tukwila",98178,21,"point population",2023-03-13
98188,21,0.318517622233247,9177.19330781249,22471.7517844369,22471.7517844369,"Tukwila",98188,21,"point population",2023-03-13
