"btfid","gtfid","stfid","hra"
530330328003230,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330204022004,530330204022,53033020402,"Kenmore/LFP"
530330328003221,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330201002022,530330201002,53033020100,"Shoreline"
530330323191005,530330323191,53033032319,"Bothell/Woodinville"
530330328003034,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330204014004,530330204014,53033020401,"Shoreline"
530330323073000,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330328003138,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330328003222,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330204014005,530330204014,53033020401,"Shoreline"
530330323193001,530330323193,53033032319,"Bothell/Woodinville"
530330323193000,530330323193,53033032319,"Bothell/Woodinville"
530330218021013,530330218021,53033021802,"Bothell/Woodinville"
530330204011006,530330204011,53033020401,"Shoreline"
530330216003006,530330216003,53033021600,"Kenmore/LFP"
530330204011005,530330204011,53033020401,"Shoreline"
530330203001012,530330203001,53033020300,"Shoreline"
530330204013003,530330204013,53033020401,"Shoreline"
530330204011004,530330204011,53033020401,"Shoreline"
530330218041002,530330218041,53033021804,"Bothell/Woodinville"
530330204013011,530330204013,53033020401,"Shoreline"
530330328003218,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330328003217,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330201002021,530330201002,53033020100,"Shoreline"
530330323071006,530330323071,53033032307,"Bear Creek/Carnation/Duvall"
530330203001013,530330203001,53033020300,"Shoreline"
530330204013009,530330204013,53033020401,"Shoreline"
530330328003215,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330328003029,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330201001012,530330201001,53033020100,"Shoreline"
530330323201012,530330323201,53033032320,"Bear Creek/Carnation/Duvall"
530330202005001,530330202005,53033020200,"Shoreline"
530330328003997,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330204014006,530330204014,53033020401,"Shoreline"
530330204013002,530330204013,53033020401,"Shoreline"
530330216003004,530330216003,53033021600,"Kenmore/LFP"
530330202002004,530330202002,53033020200,"Shoreline"
530330216003005,530330216003,53033021600,"Kenmore/LFP"
530330204022005,530330204022,53033020402,"Kenmore/LFP"
530330204023001,530330204023,53033020402,"Kenmore/LFP"
530330215004002,530330215004,53033021500,"Kenmore/LFP"
530330204013005,530330204013,53033020401,"Shoreline"
530330201001015,530330201001,53033020100,"Shoreline"
530330204023000,530330204023,53033020402,"Kenmore/LFP"
530330201001016,530330201001,53033020100,"Shoreline"
530330204024002,530330204024,53033020402,"Kenmore/LFP"
530330204013001,530330204013,53033020401,"Kenmore/LFP"
530330323201008,530330323201,53033032320,"Bothell/Woodinville"
530330202002003,530330202002,53033020200,"Shoreline"
530330204013004,530330204013,53033020401,"Shoreline"
530330215003002,530330215003,53033021500,"Kenmore/LFP"
530330203002001,530330203002,53033020300,"Shoreline"
530330203002000,530330203002,53033020300,"Shoreline"
530330215004003,530330215004,53033021500,"Kenmore/LFP"
530330323073005,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330202002008,530330202002,53033020200,"Shoreline"
530330204014007,530330204014,53033020401,"Shoreline"
530330201001011,530330201001,53033020100,"Shoreline"
530330323111019,530330323111,53033032311,"Bear Creek/Carnation/Duvall"
530330204014008,530330204014,53033020401,"Shoreline"
530330218021012,530330218021,53033021802,"Bothell/Woodinville"
530330203003004,530330203003,53033020300,"Shoreline"
530330323111002,530330323111,53033032311,"Bear Creek/Carnation/Duvall"
530330204013006,530330204013,53033020401,"Shoreline"
530330324011014,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330218023008,530330218023,53033021802,"Bothell/Woodinville"
530330201001017,530330201001,53033020100,"Shoreline"
530330218034003,530330218034,53033021803,"Bothell/Woodinville"
530330218034004,530330218034,53033021803,"Bothell/Woodinville"
530330217003005,530330217003,53033021700,"Kenmore/LFP"
530330216003010,530330216003,53033021600,"Kenmore/LFP"
530330203002002,530330203002,53033020300,"Shoreline"
530330208004002,530330208004,53033020800,"Shoreline"
530330203002003,530330203002,53033020300,"Shoreline"
530330204023002,530330204023,53033020402,"Kenmore/LFP"
530330204013008,530330204013,53033020401,"Shoreline"
530330204013007,530330204013,53033020401,"Shoreline"
530330323071000,530330323071,53033032307,"Bear Creek/Carnation/Duvall"
530330216003007,530330216003,53033021600,"Kenmore/LFP"
530330324011001,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330203003003,530330203003,53033020300,"Shoreline"
530330203003002,530330203003,53033020300,"Shoreline"
530330203003001,530330203003,53033020300,"Shoreline"
530330323113000,530330323113,53033032311,"Bear Creek/Carnation/Duvall"
530330203003000,530330203003,53033020300,"Shoreline"
530330203002011,530330203002,53033020300,"Shoreline"
530330203002010,530330203002,53033020300,"Shoreline"
530330205006000,530330205006,53033020500,"Shoreline"
530330323073006,530330323073,53033032307,"Bear Creek/Carnation/Duvall"
530330215002001,530330215002,53033021500,"Kenmore/LFP"
530330201001999,530330201001,53033020100,"Shoreline"
530330204023003,530330204023,53033020402,"Kenmore/LFP"
530330215002000,530330215002,53033021500,"Kenmore/LFP"
530330218031006,530330218031,53033021803,"Bothell/Woodinville"
530330218043007,530330218043,53033021804,"Bothell/Woodinville"
530330202002006,530330202002,53033020200,"Shoreline"
530330217002005,530330217002,53033021700,"Kenmore/LFP"
530330204022001,530330204022,53033020402,"Kenmore/LFP"
530330218021011,530330218021,53033021802,"Bothell/Woodinville"
530330323113005,530330323113,53033032311,"Bear Creek/Carnation/Duvall"
530330202005003,530330202005,53033020200,"Shoreline"
530330216001009,530330216001,53033021600,"Kenmore/LFP"
530330204013000,530330204013,53033020401,"Kenmore/LFP"
530330218042001,530330218042,53033021804,"Bothell/Woodinville"
530330218042000,530330218042,53033021804,"Bothell/Woodinville"
530330218022006,530330218022,53033021802,"Bothell/Woodinville"
530330218022005,530330218022,53033021802,"Bothell/Woodinville"
530330218041009,530330218041,53033021804,"Bothell/Woodinville"
530330218022004,530330218022,53033021802,"Bothell/Woodinville"
530330218034002,530330218034,53033021803,"Bothell/Woodinville"
530330218022003,530330218022,53033021802,"Bothell/Woodinville"
530330216004003,530330216004,53033021600,"Kenmore/LFP"
530330217004005,530330217004,53033021700,"Kenmore/LFP"
530330203003005,530330203003,53033020300,"Shoreline"
530330328003232,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330203002012,530330203002,53033020300,"Shoreline"
530330324011999,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330203002009,530330203002,53033020300,"Shoreline"
530330203002006,530330203002,53033020300,"Shoreline"
530330203002005,530330203002,53033020300,"Shoreline"
530330323111001,530330323111,53033032311,"Bear Creek/Carnation/Duvall"
530330328003219,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330218021010,530330218021,53033021802,"Bothell/Woodinville"
530330202002007,530330202002,53033020200,"Shoreline"
530330203002004,530330203002,53033020300,"Shoreline"
530330216004001,530330216004,53033021600,"Kenmore/LFP"
530330218023009,530330218023,53033021802,"Bothell/Woodinville"
530330202002005,530330202002,53033020200,"Shoreline"
530330218023010,530330218023,53033021802,"Bothell/Woodinville"
530330218023011,530330218023,53033021802,"Bothell/Woodinville"
530330217002007,530330217002,53033021700,"Kenmore/LFP"
530330323193003,530330323193,53033032319,"Bothell/Woodinville"
530330217002006,530330217002,53033021700,"Kenmore/LFP"
530330323193004,530330323193,53033032319,"Bothell/Woodinville"
530330218041010,530330218041,53033021804,"Bothell/Woodinville"
530330204011016,530330204011,53033020401,"Shoreline"
530330204011011,530330204011,53033020401,"Shoreline"
530330208004007,530330208004,53033020800,"Shoreline"
530330217004006,530330217004,53033021700,"Kenmore/LFP"
530330216003008,530330216003,53033021600,"Kenmore/LFP"
530330216003009,530330216003,53033021600,"Kenmore/LFP"
530330218021009,530330218021,53033021802,"Bothell/Woodinville"
530330324011002,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330328003216,530330328003,53033032800,"Snoqualmie/North Bend/Skykomish"
530330208004004,530330208004,53033020800,"Shoreline"
530330204013012,530330204013,53033020401,"Shoreline"
530330204013013,530330204013,53033020401,"Shoreline"
530330324011012,530330324011,53033032401,"Bear Creek/Carnation/Duvall"
530330323201009,530330323201,53033032320,"Bothell/Woodinville"
530330323113009,530330323113,53033032311,"Bear Creek/Carnation/Duvall"
530330323201010,530330323201,53033032320,"Bothell/Woodinville"
530330323201011,530330323201,53033032320,"Bear Creek/Carnation/Duvall"
530330204023005,530330204023,53033020402,"Kenmore/LFP"
530330218034005,530330218034,53033021803,"Bothell/Woodinville"
530330204023004,530330204023,53033020402,"Kenmore/LFP"
530330203002008,530330203002,53033020300,"Shoreline"
530330323201013,530330323201,53033032320,"Bear Creek/Carnation/Duvall"
530330217004004,530330217004,53033021700,"Kenmore/LFP"
530330325001006,530330325001,53033032500,"Bear Creek/Carnation/Duvall"
530330218041012,530330218041,53033021804,"Bothell/Woodinville"
530330218043009,530330218043,53033021804,"Bothell/Woodinville"
530330218041011,530330218041,53033021804,"Bothell/Woodinville"
530330218043008,530330218043,53033021804,"Bothell/Woodinville"
530330204023006,530330204023,53033020402,"Kenmore/LFP"
530330204011015,530330204011,53033020401,"Shoreline"
530330204011013,530330204011,53033020401,"Shoreline"
530330204011012,530330204011,53033020401,"Shoreline"
530330203003008,530330203003,53033020300,"Shoreline"
530330205001001,530330205001,53033020500,"Shoreline"
530330203002007,530330203002,53033020300,"Shoreline"
530330203003009,530330203003,53033020300,"Shoreline"
530330208004001,530330208004,53033020800,"Shoreline"
530330208004000,530330208004,53033020800,"Shoreline"
